          	      3142	       ARI	    ARI.MG	       B41	       B73	     BLANK	      CAST	      COUG	       GT1	     M7741	      ME49	       P89	       PRU	       RAY	     RH-88	       ROD	       SOU	TGGOATUS21	  TGSHUS28	      TGSK	       VEG	
      3142	       161	        74	        74	        39	        39	         0	         1	        53	         1	         0	        41	         0	        45	        65	         0	         0	         1	        40	         1	        62	         0	
       ARI	        74	       161	        84	        33	        33	         0	         1	        49	         1	         0	        35	         0	        38	        67	         0	         0	         1	        34	         1	        64	         0	
    ARI.MG	        74	        84	       161	        33	        33	         0	         1	        49	         1	         0	        35	         0	        38	        67	         0	         0	         1	        34	         1	        64	         0	
       B41	        39	        33	        33	       161	        84	         0	         0	        34	         0	         0	        81	         0	        75	        39	         0	         0	         1	        83	         0	        37	         2	
       B73	        39	        33	        33	        84	       161	         0	         0	        34	         0	         0	        81	         0	        75	        39	         0	         0	         1	        83	         0	        37	         2	
     BLANK	         0	         0	         0	         0	         0	       161	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	
      CAST	         1	         1	         1	         0	         0	         0	       161	        11	        83	        42	         1	        42	         0	         0	        82	        43	        39	         0	        59	         0	        39	
      COUG	        53	        49	        49	        34	        34	         0	        11	       161	        10	        13	        36	        12	        42	        49	         9	        12	        12	        35	        13	        55	        12	
       GT1	         1	         1	         1	         0	         0	         0	        83	        10	       161	        42	         1	        42	         0	         0	        83	        43	        39	         0	        59	         0	        39	
     M7741	         0	         0	         0	         0	         0	         0	        42	        13	        42	       161	         1	        81	         0	         1	        42	        83	        77	         0	        66	         1	        78	
      ME49	        41	        35	        35	        81	        81	         0	         1	        36	         1	         1	       161	         1	        73	        36	         1	         1	         1	        82	         1	        38	         0	
       P89	         0	         0	         0	         0	         0	         0	        42	        12	        42	        81	         1	       161	         0	         0	        43	        81	        79	         0	        67	         0	        78	
       PRU	        45	        38	        38	        75	        75	         0	         0	        42	         0	         0	        73	         0	       161	        42	         0	         0	         2	        74	         0	        44	         1	
       RAY	        65	        67	        67	        39	        39	         0	         0	        49	         0	         1	        36	         0	        42	       161	         0	         1	         1	        38	         0	        77	         3	
     RH-88	         0	         0	         0	         0	         0	         0	        82	         9	        83	        42	         1	        43	         0	         0	       161	        43	        40	         0	        58	         0	        39	
       ROD	         0	         0	         0	         0	         0	         0	        43	        12	        43	        83	         1	        81	         0	         1	        43	       161	        77	         0	        67	         1	        78	
       SOU	         1	         1	         1	         1	         1	         0	        39	        12	        39	        77	         1	        79	         2	         1	        40	        77	       161	         2	        62	         2	        80	
TGGOATUS21	        40	        34	        34	        83	        83	         0	         0	        35	         0	         0	        82	         0	        74	        38	         0	         0	         2	       161	         0	        38	         1	
  TGSHUS28	         1	         1	         1	         0	         0	         0	        59	        13	        59	        66	         1	        67	         0	         0	        58	        67	        62	         0	       161	         0	        62	
      TGSK	        62	        64	        64	        37	        37	         0	         0	        55	         0	         1	        38	         0	        44	        77	         0	         1	         2	        38	         0	       161	         2	
       VEG	         0	         0	         0	         2	         2	         0	        39	        12	        39	        78	         0	        78	         1	         3	        39	        78	        80	         1	        62	         2	       161	
