          	      3142	       ARI	    ARI.MG	       B41	       B73	     BLANK	      CAST	      COUG	       GT1	     M7741	      ME49	       P89	       PRU	       RAY	     RH-88	       ROD	       SOU	TGGOATUS21	  TGSHUS28	      TGSK	       VEG	
      3142	        81	        40	        40	        20	        20	         0	         0	        25	         0	         0	        23	         0	        20	        33	         0	         0	         1	        20	         0	        33	         0	
       ARI	        40	        81	        43	        18	        18	         0	         0	        27	         0	         0	        21	         0	        18	        34	         0	         0	         1	        18	         0	        34	         0	
    ARI.MG	        40	        43	        81	        18	        18	         0	         0	        27	         0	         0	        21	         0	        18	        34	         0	         0	         1	        18	         0	        34	         0	
       B41	        20	        18	        18	        81	        43	         0	         0	        20	         0	         0	        40	         0	        43	        23	         0	         0	         0	        43	         0	        22	         1	
       B73	        20	        18	        18	        43	        81	         0	         0	        20	         0	         0	        40	         0	        43	        23	         0	         0	         0	        43	         0	        22	         1	
     BLANK	         0	         0	         0	         0	         0	        81	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	
      CAST	         0	         0	         0	         0	         0	         0	        81	         6	        43	        22	         0	        23	         0	         0	        43	        22	        21	         0	        30	         0	        20	
      COUG	        25	        27	        27	        20	        20	         0	         6	        81	         6	         6	        21	         7	        20	        27	         6	         6	         7	        20	         7	        29	         5	
       GT1	         0	         0	         0	         0	         0	         0	        43	         6	        81	        22	         0	        23	         0	         0	        43	        22	        21	         0	        30	         0	        20	
     M7741	         0	         0	         0	         0	         0	         0	        22	         6	        22	        81	         0	        41	         0	         0	        22	        43	        39	         0	        34	         0	        40	
      ME49	        23	        21	        21	        40	        40	         0	         0	        21	         0	         0	        81	         0	        40	        22	         0	         0	         1	        40	         0	        23	         0	
       P89	         0	         0	         0	         0	         0	         0	        23	         7	        23	        41	         0	        81	         0	         0	        23	        41	        40	         0	        36	         0	        39	
       PRU	        20	        18	        18	        43	        43	         0	         0	        20	         0	         0	        40	         0	        81	        23	         0	         0	         0	        43	         0	        22	         1	
       RAY	        33	        34	        34	        23	        23	         0	         0	        27	         0	         0	        22	         0	        23	        81	         0	         0	         0	        23	         0	        41	         1	
     RH-88	         0	         0	         0	         0	         0	         0	        43	         6	        43	        22	         0	        23	         0	         0	        81	        22	        21	         0	        30	         0	        20	
       ROD	         0	         0	         0	         0	         0	         0	        22	         6	        22	        43	         0	        41	         0	         0	        22	        81	        39	         0	        34	         0	        40	
       SOU	         1	         1	         1	         0	         0	         0	        21	         7	        21	        39	         1	        40	         0	         0	        21	        39	        81	         0	        33	         1	        41	
TGGOATUS21	        20	        18	        18	        43	        43	         0	         0	        20	         0	         0	        40	         0	        43	        23	         0	         0	         0	        81	         0	        22	         1	
  TGSHUS28	         0	         0	         0	         0	         0	         0	        30	         7	        30	        34	         0	        36	         0	         0	        30	        34	        33	         0	        81	         0	        32	
      TGSK	        33	        34	        34	        22	        22	         0	         0	        29	         0	         0	        23	         0	        22	        41	         0	         0	         1	        22	         0	        81	         0	
       VEG	         0	         0	         0	         1	         1	         0	        20	         5	        20	        40	         0	        39	         1	         1	        20	        40	        41	         1	        32	         0	        81	
