Chromosome	Position	3142	ARI	ARI.MG	B41	B73	BLANK	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
@TGME49_CHRXI	0	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	5000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	10000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	15000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	20000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	25000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	30000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	35000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	40000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
@TGME49_CHRXI	45000	#FFBF00	#FFBF00	#FFBF00	#00FF3F	#00FF3F	#003FFF	#FF00BF	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#00FF3F	#FFBF00	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#FF00BF	#FFBF00	#FF00BF
