Chromosome	Position	3142	ARI	ARI.MG	B41	B73	BLANK	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
@TGME49_CHRXII	0	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	10000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#00FF3F	#003FFF	#003FFF	#FF00BF	#00FF3F	#003FFF	#FF00BF	#00FF3F
@TGME49_CHRXII	20000	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	30000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	40000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	50000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	60000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	70000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	80000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	90000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	100000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	110000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	120000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	130000	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	140000	#00FF3F	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	150000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	160000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	170000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	180000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	190000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	200000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	210000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	220000	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	230000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	240000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	250000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	260000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	270000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	280000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	290000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	300000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	310000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	320000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	330000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	340000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	350000	#FF00BF	#FF00BF	#FF00BF	#00FF3F	#00FF3F	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#00FF3F	#003FFF	#00FF3F	#FF00BF	#003FFF	#003FFF	#003FFF	#00FF3F	#003FFF	#FF00BF	#003FFF
@TGME49_CHRXII	360000	#00FF3F	#00FF3F	#00FF3F	#FF00BF	#FF00BF	#FFBF00	#003FFF	#00FF3F	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
@TGME49_CHRXII	370000	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FF00BF	#FFBF00	#003FFF	#FF00BF	#003FFF	#003FFF	#FF00BF	#003FFF	#FF00BF	#00FF3F	#003FFF	#003FFF	#003FFF	#FF00BF	#003FFF	#00FF3F	#003FFF
