Chromosome	RefPosition	3142	ARI	ARI.MG	B41	B73	BLANK	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
TGME49_CHRXII	0	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
TGME49_CHRXII	5000	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
TGME49_CHRXII	10000	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62
TGME49_CHRXII	15000	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
TGME49_CHRXII	20000	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
TGME49_CHRXII	25000	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
TGME49_CHRXII	30000	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
TGME49_CHRXII	35000	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
TGME49_CHRXII	40000	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
TGME49_CHRXII	45000	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
TGME49_CHRXII	50000	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
TGME49_CHRXII	55000	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
TGME49_CHRXII	60000	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46
TGME49_CHRXII	65000	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
TGME49_CHRXII	70000	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
TGME49_CHRXII	75000	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71
TGME49_CHRXII	80000	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
TGME49_CHRXII	85000	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
TGME49_CHRXII	90000	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
TGME49_CHRXII	95000	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107
TGME49_CHRXII	100000	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
TGME49_CHRXII	105000	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
TGME49_CHRXII	110000	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115	115
TGME49_CHRXII	115000	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70
TGME49_CHRXII	120000	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
TGME49_CHRXII	125000	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
TGME49_CHRXII	130000	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74
TGME49_CHRXII	135000	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53
TGME49_CHRXII	140000	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
TGME49_CHRXII	145000	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
TGME49_CHRXII	150000	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
TGME49_CHRXII	155000	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
TGME49_CHRXII	160000	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73
TGME49_CHRXII	165000	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62
TGME49_CHRXII	170000	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82
TGME49_CHRXII	175000	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
TGME49_CHRXII	180000	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
TGME49_CHRXII	185000	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
TGME49_CHRXII	190000	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57
TGME49_CHRXII	195000	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
TGME49_CHRXII	200000	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
TGME49_CHRXII	205000	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
TGME49_CHRXII	210000	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77
TGME49_CHRXII	215000	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
TGME49_CHRXII	220000	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
TGME49_CHRXII	225000	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
TGME49_CHRXII	230000	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
TGME49_CHRXII	235000	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
TGME49_CHRXII	240000	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
TGME49_CHRXII	245000	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
TGME49_CHRXII	250000	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
TGME49_CHRXII	255000	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
TGME49_CHRXII	260000	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
TGME49_CHRXII	265000	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56
TGME49_CHRXII	270000	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
TGME49_CHRXII	275000	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
TGME49_CHRXII	280000	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57
TGME49_CHRXII	285000	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
TGME49_CHRXII	290000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRXII	295000	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
TGME49_CHRXII	300000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRXII	305000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRXII	310000	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
TGME49_CHRXII	315000	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
TGME49_CHRXII	320000	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
TGME49_CHRXII	325000	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
TGME49_CHRXII	330000	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
TGME49_CHRXII	335000	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
TGME49_CHRXII	340000	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
TGME49_CHRXII	345000	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
TGME49_CHRXII	350000	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
