Chromosome	RefPosition	3142	ARI	ARI.MG	B41	B73	BLANK	CAST	COUG	GT1	M7741	ME49	P89	PRU	RAY	RH-88	ROD	SOU	TGGOATUS21	TGSHUS28	TGSK	VEG
TGME49_CHRXII	0	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
TGME49_CHRXII	10000	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111	111
TGME49_CHRXII	20000	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42
TGME49_CHRXII	30000	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
TGME49_CHRXII	40000	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
TGME49_CHRXII	50000	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53
TGME49_CHRXII	60000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRXII	70000	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140
TGME49_CHRXII	80000	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228
TGME49_CHRXII	90000	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201	201
TGME49_CHRXII	100000	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200
TGME49_CHRXII	110000	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185
TGME49_CHRXII	120000	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
TGME49_CHRXII	130000	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127	127
TGME49_CHRXII	140000	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
TGME49_CHRXII	150000	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187	187
TGME49_CHRXII	160000	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135	135
TGME49_CHRXII	170000	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149
TGME49_CHRXII	180000	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114
TGME49_CHRXII	190000	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
TGME49_CHRXII	200000	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
TGME49_CHRXII	210000	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128
TGME49_CHRXII	220000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRXII	230000	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57
TGME49_CHRXII	240000	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
TGME49_CHRXII	250000	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
TGME49_CHRXII	260000	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
TGME49_CHRXII	270000	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131
TGME49_CHRXII	280000	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117	117
TGME49_CHRXII	290000	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123
TGME49_CHRXII	300000	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
TGME49_CHRXII	310000	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
TGME49_CHRXII	320000	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89
TGME49_CHRXII	330000	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107	107
TGME49_CHRXII	340000	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83
TGME49_CHRXII	350000	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
